dummy_sensitive,UMO_0.4,UMO_0.6,UMO_0.8,UMO_1.0,UMO_1.2,UMO_1.4,UMO_1.6
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,0.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,0.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,2.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,0.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,0.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,0.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,0.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,0.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,0.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,0.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,0.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,0.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,0.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,0.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,0.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,0.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,0.0,,,,,,
1,1.0,,,,,,
0,0.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,2.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,0.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,0.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,0.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,0.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,0.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,0.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,0.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,0.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,0.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,0.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,0.0,,,,,,
0,0.0,,,,,,
1,0.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,0.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,0.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,0.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,0.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,0.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,0.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,0.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,0.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
1,1.0,,,,,,
1,4.0,,,,,,
1,4.0,,,,,,
0,4.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,0.0,,,,,,
1,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
0,1.0,,,,,,
0,4.0,,,,,,
0,4.0,,,,,,
0,1.0,,,,,,
1,1.0,,,,,,
1,1.0,,,,,,
0,4.0,,,,,,
